name,ekmag,emw1,emw2,emw3,emw4,kmag,mur50,mw1,mw2,mw3,mw4,name,ukidsskflag,ukidsskmag,kmag_flag,sb_flag,wise_good,radeg,dedeg
rs0001,0.0,0.01568542793393135,0.021852944046258926,0.03797813877463341,0.06795214116573334,0.0,20.661211,14.01120662689209,13.577936172485352,11.28652286529541,7.590288162231445,rs0001,   0,14.8851,True,True,True,133.07093999999998,3.7298823
rs0002,0.0973,0.0032533197663724422,0.007674325257539749,0.055125027894973755,0.3662841022014618,12.4923,21.70162,12.406121253967285,12.261506080627441,9.03244400024414,7.7641496658325195,rs0002,   0,12.8054,True,True,True,133.38629,4.7823282
rs0003,0.2218,0.008779551833868027,0.013359691947698593,0.015333615243434906,0.11509396135807037,14.1047,20.031902,13.395012855529785,13.274089813232422,9.803184509277344,7.075119972229004,rs0003,   0,13.4153,True,True,True,133.68635,4.3019552
rs0004,0.0,0.0530143640935421,0.4945368766784668,0.0,0.0,0.0,21.517324,15.143820762634277,14.654255867004395,0.0,0.0,rs0004,   1,0.0,False,True,False,134.00942,1.8835463
rs1313,0.0,0.0,0.0,0.0,0.0,0.0,21.071005,0.0,0.0,0.0,0.0,rs1313,   0,15.5338,True,True,False,134.45492,1.3230391
rs0005,0.0828,0.0043405806645751,0.008080524392426014,0.028464943170547485,0.07867462188005447,12.406,20.401913,12.375679969787598,12.248861312866211,8.736785888671875,6.492497444152832,rs0005,   1,0.0,True,True,True,134.60913,3.3942057
rs1314,0.2777,0.01342033501714468,0.016751883551478386,0.04598965123295784,0.3063350021839142,13.9472,20.191385,13.892070770263672,13.839945793151855,10.054805755615234,8.156343460083008,rs1314,   0,13.9639,True,True,True,134.61978,3.3694265
rs0006,0.0,0.03591907396912575,0.03935449570417404,0.1766117811203003,0.0,0.0,20.998259,14.247115135192871,14.093189239501953,12.513806343078613,0.0,rs0006,   0,15.3442,True,True,True,134.82403,0.6901229999999999
rs0007,0.4591,0.029245609417557716,0.18841396272182465,0.2929667830467224,2.2371368408203125,14.3667,21.55075,14.301486015319824,14.009673118591309,11.576515197753906,10.148033142089844,rs0007,   0,14.5804,True,True,True,134.99491,3.4790645
rs0009,0.0,0.00969063863158226,0.08490584045648575,7.624294757843018,0.0,0.0,21.911146,14.759927749633789,14.196610450744629,11.961697578430176,0.0,rs0009,   0,14.5243,True,True,False,135.20758999999998,2.8907589
rs0010,0.25,0.02087663859128952,0.11982932686805725,0.9604020714759827,0.4706818461418152,13.8139,21.664677,13.497881889343262,13.167444229125977,9.938282012939453,7.905252456665039,rs0010,   0,14.0611,True,True,True,135.21256,1.1612322
rs0011,0.0,0.0358491875231266,0.04632173851132393,0.09326840192079544,4.594850540161133,0.0,21.841747,14.349485397338867,14.368078231811523,11.667974472045898,9.241889953613281,rs0011,   1,0.0,False,True,True,135.26529,3.6045235
rs0012,0.2271,0.022000000000000002,0.044000000000000004,0.083,0.512,13.2682,21.64363,15.625,16.372,15.571,15.561,rs0012,   0,13.2286,True,True,True,135.43797,0.52181125
rs0013,0.2926,0.013767533004283905,0.05631323158740997,0.03211641684174538,5.215813636779785,13.5562,21.56764,13.153759956359863,12.928520202636719,10.493266105651855,8.22311019897461,rs0013,   1,0.0,True,True,True,135.4779,1.172049
