,h,m,s,d,dm,ds,search,width,name
0,0.0,0.0,3.223860480000001,-1.0,-6.0,-46.39896000000002,7.0,0.0,rf0001
1,0.0,4.0,35.22888000000005,0.0,50.0,55.19345999999999,7.0,0.0,rf0002
2,0.0,9.0,15.710208000000172,0.0,48.0,45.52473599999985,7.0,0.0,rf0003
3,0.0,11.0,49.46133600000014,-1.0,-5.0,-13.473240000000342,7.0,0.0,rf0004
4,0.0,12.0,6.110688000000124,-0.0,-24.0,-54.430452,7.0,0.0,rf0005
5,0.0,16.0,46.05405600000019,-1.0,-6.0,-29.419199999999766,7.0,0.0,rf0006
6,0.0,17.0,8.815824000000134,-0.0,-57.0,-28.942200000000184,7.0,0.0,rf0007
7,0.0,17.0,25.867032000000165,-0.0,-58.0,-41.970467999999954,7.0,0.0,rf0008
8,0.0,17.0,39.96326400000022,0.0,30.0,22.484555999999856,7.0,0.0,rf0009
9,0.0,17.0,54.28303200000023,0.0,19.0,46.43695200000003,7.0,0.0,rf0010
10,0.0,17.0,55.413888000000284,0.0,20.0,7.186307999999926,7.0,0.0,rf0011
11,0.0,19.0,0.8576400000001883,0.0,39.0,42.528779999999955,7.0,0.0,rf0012
12,0.0,19.0,47.34556800000057,0.0,35.0,26.94130799999982,7.0,0.0,rf0013
13,0.0,20.0,1.7415840000001737,0.0,39.0,14.28371999999996,7.0,0.0,rf0014
14,0.0,20.0,25.857768000000192,0.0,49.0,35.79304800000017,7.0,0.0,rf0015
15,0.0,20.0,27.533040000000284,0.0,50.0,1.0178159999998115,7.0,0.0,rf0016
16,0.0,20.0,28.700328000000184,0.0,32.0,28.39433999999997,7.0,0.0,rf0017
17,0.0,20.0,33.872160000000235,0.0,51.0,23.761727999999778,7.0,0.0,rf0018
18,0.0,21.0,1.743600000000285,0.0,59.0,33.30985200000001,7.0,0.0,rf0019
19,0.0,21.0,2.911032000000162,0.0,50.0,0.7424520000002133,7.0,0.0,rf0020
20,0.0,21.0,35.30109600000017,1.0,9.0,56.33712000000024,7.0,0.0,rf0021
21,0.0,21.0,45.81741600000015,0.0,33.0,27.38015999999959,7.0,0.0,rf0022
22,0.0,23.0,47.68142400000002,-0.0,-39.0,-41.2189199999996,7.0,0.0,rf0023
23,0.0,25.0,34.424640000000295,0.0,50.0,48.831935999999985,7.0,0.0,rf0024
24,0.0,26.0,25.045560000000577,1.0,1.0,12.194039999999848,7.0,0.0,rf0025
25,0.0,27.0,53.864016000000774,-0.0,-58.0,-0.19063200000019265,7.0,0.0,rf0026
26,0.0,28.0,33.49656000000017,-1.0,-10.0,-47.86788000000023,7.0,0.0,rf0027
27,0.0,30.0,43.81584000000032,-0.0,-17.0,-58.378992000000096,7.0,0.0,rf0028
28,0.0,30.0,52.18989599999986,0.0,31.0,44.017320000000026,7.0,0.0,rf0029
29,0.0,31.0,0.6472800000003076,0.0,26.0,8.14736400000001,7.0,0.0,rf0030
30,0.0,31.0,12.114143999999882,-0.0,-24.0,-26.216388000000066,7.0,0.0,rf0031
31,0.0,31.0,43.350312000000244,0.0,54.0,2.196791999999874,7.0,0.0,rf0032
32,0.0,31.0,50.003760000000455,-0.0,-59.0,-27.648636000000124,7.0,0.0,rf0033
33,0.0,36.0,30.322512000000614,-0.0,-17.0,-14.40369600000004,7.0,0.0,rf0034
34,0.0,37.0,28.8628800000005,0.0,16.0,39.73281600000007,7.0,0.0,rf0035
35,0.0,38.0,40.43536799999998,1.0,8.0,26.610720000000327,7.0,0.0,rf0036
36,0.0,39.0,34.913040000000564,0.0,51.0,36.35622000000026,7.0,0.0,rf0037
37,0.0,39.0,43.3518480000005,0.0,57.0,38.587103999999925,7.0,0.0,rf0038
38,0.0,40.0,4.565520000000589,0.0,2.0,53.65345560000001,7.0,0.0,rf0039
39,0.0,40.0,26.92704000000063,-0.0,-2.0,-43.11815279999999,7.0,0.0,rf0040
40,0.0,40.0,27.197040000000214,0.0,19.0,42.72834000000003,7.0,0.0,rf0041
41,0.0,40.0,35.15136000000041,-0.0,-17.0,-36.65245199999987,7.0,0.0,rf0042
42,0.0,40.0,37.90488000000053,-0.0,-19.0,-49.6103879999999,7.0,0.0,rf0043
43,0.0,40.0,59.44104000000053,0.0,46.0,18.122268000000048,7.0,0.0,rf0044
44,0.0,41.0,4.333680000000584,0.0,54.0,28.965780000000336,7.0,0.0,rf0045
45,0.0,41.0,29.330640000000443,-1.0,-11.0,-45.504239999999925,7.0,0.0,rf0046
46,0.0,41.0,36.011280000000596,1.0,4.0,25.565880000000032,7.0,0.0,rf0047
47,0.0,41.0,37.998960000000466,0.0,15.0,28.906200000000055,7.0,0.0,rf0048
48,0.0,41.0,40.1676000000009,0.0,12.0,32.277203999999955,7.0,0.0,rf0049
49,0.0,41.0,46.18056000000024,1.0,10.0,38.67383999999973,7.0,0.0,rf0050
50,0.0,41.0,50.39664000000059,-1.0,-1.0,-25.73508000000034,7.0,0.0,rf0051
51,0.0,42.0,3.7651200000010476,0.0,43.0,8.597963999999791,7.0,0.0,rf0052
52,0.0,42.0,9.246960000000968,-0.0,-5.0,-16.094281200000005,7.0,0.0,rf0053
53,0.0,42.0,11.325600000000549,0.0,54.0,17.072063999999898,7.0,0.0,rf0054
54,0.0,42.0,15.897840000000372,0.0,50.0,43.9005480000003,7.0,0.0,rf0055
55,0.0,42.0,31.07040000000083,1.0,4.0,37.90992000000028,7.0,0.0,rf0056
56,0.0,43.0,51.89760000000064,0.0,48.0,6.519744000000003,7.0,0.0,rf0057
57,0.0,44.0,29.513520000000426,1.0,6.0,30.79332000000031,7.0,0.0,rf0058
58,0.0,44.0,38.91264000000092,-0.0,-21.0,-44.19737999999988,7.0,0.0,rf0059
59,0.0,46.0,47.12832000000034,-0.0,-42.0,-4.669884000000053,7.0,0.0,rf0060
60,0.0,47.0,16.740480000000275,-1.0,-8.0,-54.905999999999935,7.0,0.0,rf0061
61,0.0,49.0,35.744880000000876,1.0,6.0,57.21839999999979,7.0,0.0,rf0062
62,0.0,49.0,52.269360000000376,0.0,57.0,46.46120400000015,7.0,0.0,rf0063
63,0.0,50.0,29.057760000000883,-0.0,-31.0,-50.20175999999978,7.0,0.0,rf0064
64,0.0,50.0,51.59352000000055,0.0,51.0,5.2927199999999175,7.0,0.0,rf0065
65,0.0,51.0,49.43928000000042,0.0,33.0,53.7504119999997,7.0,0.0,rf0066
66,0.0,54.0,39.91440000000068,0.0,45.0,19.635947999999956,7.0,0.0,rf0067
67,0.0,55.0,44.971200000000664,0.0,35.0,18.06273599999969,7.0,0.0,rf0068
68,0.0,55.0,51.20280000000051,-1.0,-4.0,-24.900239999999876,7.0,0.0,rf0069
69,0.0,58.0,5.639280000001037,-0.0,-53.0,-58.64794800000027,7.0,0.0,rf0070
70,0.0,58.0,48.867600000000664,0.0,35.0,14.97951599999979,7.0,0.0,rf0071
71,0.0,58.0,55.54392000000064,1.0,0.0,20.518920000000307,7.0,0.0,rf0072
72,0.0,59.0,4.121760000001018,1.0,0.0,4.260600000000014,7.0,0.0,rf0073
73,0.0,59.0,42.19560000000044,0.0,55.0,0.3160560000002022,7.0,0.0,rf0074
74,1.0,0.0,50.172240000000826,-0.0,-43.0,-52.724423999999885,7.0,0.0,rf0075
75,1.0,2.0,0.967440000000348,0.0,30.0,43.89803999999998,7.0,0.0,rf0076
76,1.0,2.0,42.427920000000725,-0.0,-44.0,-58.36909199999994,7.0,0.0,rf0077
77,1.0,2.0,53.894400000000445,-0.0,-19.0,-10.778196000000122,7.0,0.0,rf0078
78,1.0,2.0,59.49024000000149,-0.0,-40.0,-41.50362000000001,7.0,0.0,rf0079
79,1.0,3.0,1.7460000000004072,-1.0,-6.0,-39.04271999999992,7.0,0.0,rf0080
80,1.0,3.0,13.915440000001027,-0.0,-42.0,-44.12894400000013,7.0,0.0,rf0081
81,1.0,3.0,19.530000000001007,-0.0,-35.0,-22.54254000000003,7.0,0.0,rf0082
82,1.0,3.0,33.608640000000705,-0.0,-36.0,-25.217819999999875,7.0,0.0,rf0083
83,1.0,3.0,38.84640000000077,-0.0,-29.0,-26.940660000000136,7.0,0.0,rf0084
84,1.0,3.0,51.627120000000986,-0.0,-21.0,-31.12239599999988,7.0,0.0,rf0085
85,1.0,3.0,54.02448000000051,-0.0,-26.0,-26.532491999999976,7.0,0.0,rf0086
86,1.0,4.0,7.312080000000911,-0.0,-58.0,-11.970228000000134,7.0,0.0,rf0087
87,1.0,4.0,8.908320000000849,-0.0,-5.0,-43.7945856,7.0,0.0,rf0088
88,1.0,4.0,14.274960000001027,-0.0,-6.0,-59.93161199999996,7.0,0.0,rf0089
89,1.0,4.0,14.527440000000826,-0.0,-46.0,-49.40540399999975,7.0,0.0,rf0090
90,1.0,4.0,14.785920000000665,-0.0,-50.0,-41.00143199999977,7.0,0.0,rf0091
91,1.0,4.0,15.168960000001288,-1.0,-6.0,-50.79708000000039,7.0,0.0,rf0092
92,1.0,4.0,16.793520000000708,-1.0,-4.0,-29.734319999999794,7.0,0.0,rf0093
93,1.0,4.0,16.99440000000129,-0.0,-45.0,-53.26257600000005,7.0,0.0,rf0094
94,1.0,4.0,29.221200000000493,-0.0,-26.0,-26.68081200000003,7.0,0.0,rf0095
95,1.0,4.0,38.72640000000138,-0.0,-53.0,-27.559571999999974,7.0,0.0,rf0096
96,1.0,4.0,40.867200000000054,-0.0,-48.0,-9.471635999999961,7.0,0.0,rf0097
97,1.0,4.0,41.55096000000066,-0.0,-57.0,-20.635776000000163,7.0,0.0,rf0098
98,1.0,4.0,51.906240000000935,-0.0,-38.0,-52.12748399999995,7.0,0.0,rf0099
99,1.0,4.0,56.790720000000704,-0.0,-54.0,-21.60478800000007,7.0,0.0,rf0100
100,1.0,5.0,7.076160000000975,-0.0,-49.0,-10.144307999999853,7.0,0.0,rf0101
101,1.0,5.0,18.81408000000091,-0.0,-27.0,-39.35375999999991,7.0,0.0,rf0102
102,1.0,5.0,29.449920000000596,-0.0,-20.0,-39.95271599999995,7.0,0.0,rf0103
103,1.0,5.0,54.12191999999996,-0.0,-59.0,-9.466620000000177,7.0,0.0,rf0104
104,1.0,5.0,59.60904000000067,0.0,16.0,8.607611999999989,7.0,0.0,rf0105
105,1.0,6.0,7.1212800000009935,0.0,46.0,34.69079999999977,7.0,0.0,rf0106
106,1.0,6.0,23.474160000000275,0.0,20.0,43.71849599999997,7.0,0.0,rf0107
107,1.0,6.0,27.974639999999127,0.0,39.0,0.5347439999999892,7.0,0.0,rf0108
108,1.0,6.0,33.53736000000161,-0.0,-8.0,-1.0689000000000348,7.0,0.0,rf0109
