,name,rarad,vlg
0,rf0003,0.040412386735593886,5962.9
1,rf0010,0.07812406669461501,5446.7
2,rf0013,0.08634620633567595,5469.5
3,rf0015,0.08914689255311993,5232.0
4,rf0022,0.09496172224618533,5477.1
5,rf0024,0.11158650871553619,5501.7
6,rf0029,0.13469505023904726,5880.0
7,rf0030,0.13531008855948684,5892.6
8,rf0031,0.13614398244148015,5954.2
9,rf0040,0.17649111480700053,5984.3
10,rf0048,0.18165961068080888,5543.7
11,rf0053,0.1839320293669055,5513.0
12,rf0060,0.20414013212490412,4871.4
13,rf0062,0.21640227439734813,5399.5
14,rf0064,0.2202792964378508,5818.4
15,rf0065,0.22191814315218095,4692.5
16,rf0072,0.25711200938694584,5474.3
17,rf0073,0.2577358075149011,5450.2
18,rf0092,0.2803557982195233,5511.1
19,rf0127,0.3097477013284683,5755.2
20,rf0129,0.3123808970242447,4642.9
21,rf0132,0.3135277354224377,5635.4
22,rf0134,0.31662475236693155,5832.5
23,rf0138,0.31769338256134266,5375.0
24,rf0164,0.3496342692296554,5676.8
25,rf0166,0.3546415839470421,5320.5
26,rf0176,0.3661393592735752,5595.7
27,rf0180,0.3687547875175663,5172.4
28,rf0190,0.37300171463973664,6389.2
29,rf0201,0.37785997823900297,6472.1
30,rf0204,0.37857175841455126,6339.6
31,rf0205,0.3788630364134167,4938.5
32,rf0223,0.3902687805284921,4989.6
33,rf0237,0.4059330931118487,4718.8
34,rf0241,0.4090363059751871,5846.6
35,rf0248,0.41718072784998605,5259.5
36,rf0249,0.41889282603302236,5245.7
37,rf0250,0.4240534330186117,5766.6
38,rf0251,0.4259480402815291,4995.0
39,rf0258,0.4473088981038849,5255.7
40,rf0263,0.4734638961287889,5482.8
41,rf0267,0.49736689581984456,4885.7
42,rf0283,0.5043936786548363,6807.7
43,rf0284,0.5069144926000768,4523.8
44,rf0292,0.5200638555444796,5882.7
45,rf0298,0.5444849038641123,6064.9
46,rf0306,0.5670131251566646,6157.8
47,rf0309,0.5720618390839086,5967.1
48,rf0324,0.6371373129091431,6962.7
49,rf0339,0.6616049266132189,6153.4
50,rf0343,0.662101664771629,6004.2
51,rf0348,0.663195637146779,6581.2
