,name,rarad,vlg
0,rf0002,0.02001520896906821,6583.8
1,rf0003,0.040412386735593886,5962.9
2,rf0007,0.07481759802257706,5811.1
3,rf0008,0.07605759686025373,5549.8
4,rf0010,0.07812406669461501,5446.7
5,rf0011,0.07820630486363973,5550.7
6,rf0013,0.08634620633567595,5469.5
7,rf0015,0.08914689255311993,5232.0
8,rf0016,0.0892687217708969,5632.0
9,rf0022,0.09496172224618533,5477.1
10,rf0024,0.11158650871553619,5501.7
11,rf0029,0.13469505023904726,5880.0
12,rf0030,0.13531008855948684,5892.6
13,rf0031,0.13614398244148015,5954.2
14,rf0032,0.13841554068025555,5495.9
15,rf0033,0.13889939307279822,5999.4
16,rf0040,0.17649111480700053,5984.3
17,rf0042,0.17708920423507393,5900.3
18,rf0043,0.17728944586015524,5966.1
19,rf0048,0.18165961068080888,5543.7
20,rf0049,0.18181731863201908,5374.5
21,rf0053,0.1839320293669055,5513.0
22,rf0057,0.19139699456390297,5583.3
23,rf0058,0.19413250146043123,5592.0
24,rf0060,0.20414013212490412,4871.4
25,rf0061,0.20629358916918478,5898.7
26,rf0062,0.21640227439734813,5399.5
27,rf0064,0.2202792964378508,5818.4
28,rf0065,0.22191814315218095,4692.5
29,rf0071,0.25662649369562607,5548.8
30,rf0072,0.25711200938694584,5474.3
31,rf0073,0.2577358075149011,5450.2
32,rf0074,0.26050461529355745,5398.4
33,rf0084,0.27771434711638493,5333.0
34,rf0092,0.2803557982195233,5511.1
35,rf0098,0.28227435139977797,5835.4
36,rf0099,0.283027408612136,5910.5
37,rf0102,0.284984201956302,6041.9
38,rf0109,0.29041823222250873,5564.3
39,rf0117,0.2968670841822876,5280.4
40,rf0118,0.29695855688838463,5879.2
41,rf0122,0.30342627585737764,5610.2
42,rf0125,0.3082164192559386,5579.7
43,rf0126,0.30913077979776604,5396.4
44,rf0127,0.3097477013284683,5755.2
45,rf0128,0.31094262354755375,5420.5
46,rf0129,0.3123808970242447,4642.9
47,rf0132,0.3135277354224377,5635.4
48,rf0134,0.31662475236693155,5832.5
49,rf0138,0.31769338256134266,5375.0
50,rf0145,0.32385680337525036,5493.9
51,rf0147,0.3256063214174495,4738.4
52,rf0150,0.3263261126542645,4738.0
53,rf0155,0.3342292427599751,5188.9
54,rf0156,0.33551525371272206,5787.6
55,rf0160,0.3450325166705546,5325.8
56,rf0164,0.3496342692296554,5676.8
57,rf0166,0.3546415839470421,5320.5
58,rf0167,0.35695810710333664,5890.9
59,rf0169,0.36065059548202594,6032.2
60,rf0170,0.36071796519115285,5427.4
61,rf0171,0.36114080610903354,5255.8
62,rf0173,0.3639876999184241,5350.0
63,rf0174,0.36429067162327783,5355.7
64,rf0175,0.36443108336160074,5381.5
65,rf0176,0.3661393592735752,5595.7
66,rf0180,0.3687547875175663,5172.4
67,rf0182,0.36886153185461823,5135.4
68,rf0190,0.37300171463973664,6389.2
69,rf0191,0.37304784369186683,5524.6
70,rf0192,0.3737546671323395,5197.8
71,rf0193,0.3737728883697303,5944.9
72,rf0201,0.37785997823900297,6472.1
73,rf0204,0.37857175841455126,6339.6
74,rf0205,0.3788630364134167,4938.5
75,rf0206,0.3793039763956405,5639.2
76,rf0209,0.3800884669878269,5392.7
77,rf0216,0.3828036233452769,5704.1
78,rf0223,0.3902687805284921,4989.6
79,rf0227,0.39474125654989767,5513.7
80,rf0234,0.4010365893486711,5472.2
81,rf0237,0.4059330931118487,4718.8
82,rf0238,0.40632184774943786,5055.1
83,rf0241,0.4090363059751871,5846.6
84,rf0242,0.410333591754902,4743.5
85,rf0245,0.4128812663173307,4873.1
86,rf0248,0.41718072784998605,5259.5
87,rf0249,0.41889282603302236,5245.7
88,rf0250,0.4240534330186117,5766.6
89,rf0251,0.4259480402815291,4995.0
90,rf0253,0.4307264550675167,5184.6
91,rf0256,0.43738602062788884,5275.7
92,rf0258,0.4473088981038849,5255.7
